"","summary(speciesnames_classified$Artsnavn, maxsum = 500)"
"Idotea sp.",0
"Idotea viridis",280
"Insecta indet.",0
"Jaera albifrons",280
"Kefersteinia cirrata",0
"Lanassa venusta",0
"Lanice conchilega",0
"Lepidochitona cinereus",0
"Lepidonotus squamatus",0
"Lepidoptera indet.",0
"Leucon nasica",0
"Limapontia sp.",0
"Lineus ruber",0
"Littorina littorea",0
"Littorina saxatilis",280
"Littorina sp.",0
"Lymnaea sp.",280
"Macoma balthica",280
"Macoma calcarea",0
"Macoma sp.",0
"Macroplea mutica",0
"Malacoceros fuliginosus",0
"Maldanidae indet.",0
"Manayunkia aestuarina",280
"Marenzelleria sp.",0
"Marenzelleria viridis",0
"Mediomastus fragilis",0
"Mediomastus sp.",280
"Melita palmata",280
"Metopa sp.",0
"Microdeutopus gryllotalpa",280
"Microdeutopus sp.",0
"Microphthalmus sp.",0
"Modiolarca tumida",0
"Modiolus modiolus",0
"Molgula citrina",0
"Musculus discors",0
"Musculus niger",0
"Musculus sp.",0
"Mya arenaria",280
"Mysella bidentata",0
"Mysidacea indet.",0
"Mysidae indet.",0
"Mytilus edulis",280
"Neanthes sp.",0
"Neanthes succinea",280
"Neanthes virens",280
"Nematoda indet.",0
"Nemertini indet.",0
"NEMERTINI Slimbændler",0
"Neoamphitrite figulus",0
"Neomysis integer",0
"Nephtys caeca",0
"Nephtys ciliata",0
"Nephtys hombergii",0
"Nephtys sp.",0
"Nereididae indet.",280
"Nereimyra punctata",0
"NEREIS",0
"Nudibranchia indet.",0
"Odostomia sp.",0
"Oligochaeta indet.",280
"OLIGOCHAETA, Børsteorme",0
"Onoba aculeus",0
"Onoba sp.",0
"Ophelia borealis",0
"Ophelia rathkei",0
"Ophiodromus flexuosus",0
"Ophisthobranchia indet.",0
"Ophiura albida",0
"Ophiura sp.",0
"Palaemon adspersus",0
"Palaemon sp.",0
"Parvicardium exiguum",280
"Parvicardium hauniense",280
"Parvicardium ovale",280
"Parvicardium sp.",0
"Pectinaria hyperborea",0
"Pectinaria koreni",0
"Pectinaria sp.",0
"Phaxas pellucidus",0
"Philine aperta",0
"Philine sp.",0
"Pholoe assimilis",0
"Pholoe baltica",0
"Pholoe inornata",0
"Pholoe sp.",0
"Phoronis muelleri",0
"Phthisica marina",0
"Phyllodoce groenlandica",0
"Phyllodoce maculata",0
"Phyllodoce mucosa",0
"Phyllodoce sp.",0
"Platynereis dumerilii",280
"Podocoryne carnea",0
"Polychaeta indet.",0
"POLYCHAETA, Havbørsteorme",0
"Polydora caeca",0
"Polydora ciliata",280
"Polydora cornuta",280
"Polydora quadrilobata",0
"Polydora sp.",0
"Pontoporeia femorata",0
"Porifera indet.",0
"Potamopyrgus antipodarum",280
"Praunus flexuosus",0
"Priapulus caudatus",0
"Prionospio sp.",0
"Procerodes littoralis",0
"Procladius sp.",0
"Prosobranchia indet.",0
"Pseudopolydora antennata",0
"Pusillina sarsi",280
"Pygospio elegans",280
"Radix peregra",280
"Retusa obtusa",0
"Retusa sp.",0
"Retusa truncatula",0
"Rhithropanopeus harrisii",0
"Rissoa membranacea",280
"Rissoa sp.",280
"Scalibregma inflatum",0
"Scoloplos armiger",280
"Scrobicularia plana",0
"SEMELIDAE",0
"Sphaeroma hookeri",280
"Sphaeroma rugicauda",0
"Spio filicornis",0
"Spionidae indet.",280
"Spiophanes bombyx",0
"Spirorbis sp.",0
"Spirorbis spirorbis",0
"Streblospio shrubsolii",0
"Streptosyllis websteri",0
"SYLLIDAE",0
"Syllidia armata",0
"Syllidia sp.",0
"Synelmis klatti",0
"Tanaidacea indet.",0
"Tanypodinae indet.",0
"Tanytarsini indet.",0
"Terebellides stroemi",0
"Theodoxus fluviatilis",280
"Trichoptera indet.",0
"Trochochaeta multisetosa",0
"Tubifex costatus",280
"Tubificidae indet.",0
"Tubificoides benedii",280
"Tubificoides sp.",0
"Turbellaria indet.",0
"Turritella communis",0
